,open,high,low,close,adjclose,volume,ticker
2019-08-23,133.84616088867188,134.0718994140625,129.8244171142578,130.3093719482422,102.6936492919922,5051784,MMM
2019-08-26,131.27926635742188,131.66387939453125,129.66555786132812,130.5351104736328,102.87154388427734,2649499,MMM
2019-08-27,131.5468292236328,131.6722412109375,129.93310546875,130.2257537841797,102.62773895263672,2728196,MMM
2019-08-28,129.68228149414062,131.92308044433594,128.76254272460938,131.73077392578125,103.81381225585938,2806892,MMM
2019-08-29,133.19398498535156,134.64047241210938,132.98495483398438,134.08026123046875,105.66539001464844,3791918,MMM
2019-08-30,135.09197998046875,135.57691955566406,134.1220703125,135.21739196777344,106.56153106689452,2352532,MMM
2019-09-03,134.9498291015625,135.1421356201172,131.48829650878906,132.6421356201172,104.53203582763672,2195617,MMM
2019-09-04,133.6371307373047,134.30601501464844,132.93478393554688,133.83779907226562,105.4743194580078,1801894,MMM
2019-09-05,135.86956787109375,139.1387939453125,135.777587890625,137.31605529785156,108.21544647216795,2895994,MMM
2019-09-06,137.6588592529297,137.85952758789062,136.24581909179688,137.07357788085938,108.02436065673828,2107711,MMM
2019-09-09,137.95986938476562,140.34280395507812,137.70066833496094,138.74581909179688,109.3422393798828,3697195,MMM
2019-09-10,138.9297637939453,141.38795471191406,138.80435180664062,141.18728637695312,111.26626586914062,3875279,MMM
2019-09-11,142.02340698242188,142.04849243164062,138.26922607421875,140.5351104736328,110.7522964477539,4280604,MMM
2019-09-12,141.82273864746094,143.68728637695312,140.97825622558594,142.6254119873047,112.39962005615234,3432998,MMM
2019-09-13,142.63377380371094,144.21405029296875,142.02340698242188,143.344482421875,112.96630859375,3030903,MMM
2019-09-16,143.1521759033203,143.1521759033203,140.39297485351562,141.8645477294922,111.8000030517578,2941323,MMM
2019-09-17,140.26756286621094,140.94480895996094,139.21405029296875,140.52674865722656,110.74569702148438,3248814,MMM
2019-09-18,140.1421356201172,140.51004028320312,138.1688995361328,140.0,110.33058166503906,2507653,MMM
2019-09-19,139.95819091796875,141.14549255371094,139.55685424804688,139.6906280517578,110.08677673339844,1941108,MMM
2019-09-20,139.99163818359375,141.4464874267578,139.19732666015625,139.4314422607422,109.8825225830078,4423884,MMM
2019-09-23,138.36956787109375,139.99163818359375,137.54180908203125,139.4314422607422,109.8825225830078,2318566,MMM
2019-09-24,139.67391967773438,140.09197998046875,137.2575225830078,137.7424774169922,108.55149841308594,3572213,MMM
2019-09-25,137.7592010498047,137.94314575195312,136.8645477294922,137.12374877929688,108.06389617919922,3298807,MMM
2019-09-26,137.12374877929688,137.466552734375,136.1204071044922,136.98159790039062,107.9518814086914,3304907,MMM
2019-09-27,137.52508544921875,138.49497985839844,136.722412109375,137.56689453125,108.4131088256836,3432879,MMM
2019-09-30,138.1354522705078,138.43646240234375,137.07357788085938,137.45819091796875,108.32746124267578,3000166,MMM
2019-10-01,137.95986938476562,138.1354522705078,132.24916076660156,132.42474365234375,104.3607177734375,3912714,MMM
2019-10-02,131.32107543945312,131.45484924316406,129.28929138183594,130.1421356201172,102.56183624267578,3554871,MMM
2019-10-03,129.71571350097656,129.9832763671875,126.09532165527344,129.7909698486328,102.28510284423828,3618737,MMM
2019-10-04,129.7909698486328,130.47659301757812,129.09698486328125,130.28428649902344,102.6738739013672,3165094,MMM
2019-10-07,129.59866333007812,129.89129638671875,128.3612060546875,128.3612060546875,101.15834045410156,2955555,MMM
2019-10-08,127.36621856689452,127.75919342041016,125.90300750732422,126.03678894042967,99.3265151977539,3327033,MMM
2019-10-09,127.37458038330078,127.45819091796876,126.07859802246094,126.24581909179688,99.49126434326172,4016886,MMM
2019-10-10,126.21237182617188,128.00167846679688,126.1454849243164,127.34949493408205,100.36103057861328,3817632,MMM
2019-10-11,128.87123107910156,133.44480895996094,128.85450744628906,132.1906280517578,104.17621612548828,5585559,MMM
2019-10-14,132.14047241210938,135.777587890625,131.55519104003906,134.2056884765625,105.76422119140624,3910681,MMM
2019-10-15,133.23577880859375,137.14047241210938,133.23577880859375,136.27090454101562,107.39178466796876,3705926,MMM
2019-10-16,136.37123107910156,137.2909698486328,135.5518341064453,135.6020050048828,106.8646469116211,2314499,MMM
2019-10-17,136.40467834472656,138.36956787109375,136.35450744628906,136.7391357421875,107.76080322265624,2325742,MMM
2019-10-18,136.755859375,137.34950256347656,136.27090454101562,136.37123107910156,107.47085571289062,3221665,MMM
2019-10-21,138.35284423828125,138.92140197753906,137.7592010498047,138.74581909179688,109.3422393798828,2390326,MMM
2019-10-22,139.02174377441406,141.22909545898438,138.04347229003906,140.0836181640625,110.39649200439452,2468544,MMM
2019-10-23,139.97491455078125,141.1036834716797,139.26422119140625,141.1036834716797,111.20038604736328,3243911,MMM
2019-10-24,138.09364318847656,138.1688995361328,133.4698944091797,135.35952758789062,106.67355346679688,7120147,MMM
2019-10-25,135.8779296875,140.1588592529297,135.56019592285156,138.87123107910156,109.4410400390625,3713341,MMM
2019-10-28,139.19732666015625,141.8979949951172,138.9632110595703,141.35450744628906,111.39804077148438,3753048,MMM
2019-10-29,140.49331665039062,142.09866333007812,140.05853271484375,141.14549255371094,111.23331451416016,3192602,MMM
2019-10-30,140.66053771972656,140.94480895996094,139.65719604492188,140.777587890625,110.94341278076172,2129358,MMM
